id,district_id,name,bangla,web,created_by
140,15,Godagari,গোদাগাড়ী,godagari.rajshahi.gov.bd,system
141,15,Tanore,তানোর,tanore.rajshahi.gov.bd,system
142,15,Bagmara,বাগমারা,bagmara.rajshahi.gov.bd,system
143,16,Natore Sadar,নাটোর সদর,natoresadar.natore.gov.bd,system
144,16,Singra,সিংড়া,singra.natore.gov.bd,system
145,16,Baraigram,বড়াইগ্রাম,baraigram.natore.gov.bd,system
146,16,Bagatipara,বাগাতিপাড়া,bagatipara.natore.gov.bd,system
147,16,Lalpur,লালপুর,lalpur.natore.gov.bd,system
148,16,Gurudaspur,গুরুদাসপুর,gurudaspur.natore.gov.bd,system
149,16,Naldanga,নলডাঙ্গা,naldanga.natore.gov.bd,system
150,17,Akkelpur,আক্কেলপুর,akkelpur.joypurhat.gov.bd,system
151,17,Kalai,কালাই,kalai.joypurhat.gov.bd,system
152,17,Khetlal,ক্ষেতলাল,khetlal.joypurhat.gov.bd,system
153,17,Panchbibi,পাঁচবিবি,panchbibi.joypurhat.gov.bd,system
154,17,Joypurhat Sadar,জয়পুরহাট সদর,joypurhatsadar.joypurhat.gov.bd,system
155,18,Chapainawabganj Sadar,চাঁপাইনবাবগঞ্জ সদর,chapainawabganjsadar.chapainawabganj.gov.bd,system
156,18,Gomostapur,গোমস্তাপুর,gomostapur.chapainawabganj.gov.bd,system
157,18,Nachol,নাচোল,nachol.chapainawabganj.gov.bd,system
158,18,Bholahat,ভোলাহাট,bholahat.chapainawabganj.gov.bd,system
159,18,Shibganj,শিবগঞ্জ,shibganj.chapainawabganj.gov.bd,system
160,19,Mohadevpur,মহাদেবপুর,mohadevpur.naogaon.gov.bd,system
161,19,Badalgachi,বদলগাছী,badalgachi.naogaon.gov.bd,system
162,19,Patnitala,পত্নিতলা,patnitala.naogaon.gov.bd,system
163,19,Dhamoirhat,ধামইরহাট,dhamoirhat.naogaon.gov.bd,system
164,19,Niamatpur,নিয়ামতপুর,niamatpur.naogaon.gov.bd,system
165,19,Manda,মান্দা,manda.naogaon.gov.bd,system
166,19,Atrai,আত্রাই,atrai.naogaon.gov.bd,system
167,19,Raninagar,রাণীনগর,raninagar.naogaon.gov.bd,system
168,19,Naogaon Sadar,নওগাঁ সদর,naogaonsadar.naogaon.gov.bd,system
169,19,Porsha,পোরশা,porsha.naogaon.gov.bd,system
170,19,Sapahar,সাপাহার,sapahar.naogaon.gov.bd,system
171,20,Manirampur,মণিরামপুর,manirampur.jessore.gov.bd,system
172,20,Abhaynagar,অভয়নগর,abhaynagar.jessore.gov.bd,system
173,20,Bagherpara,বাঘারপাড়া,bagherpara.jessore.gov.bd,system
174,20,Chougachha,চৌগাছা,chougachha.jessore.gov.bd,system
175,20,Jhikargacha,ঝিকরগাছা,jhikargacha.jessore.gov.bd,system
176,20,Keshabpur,কেশবপুর,keshabpur.jessore.gov.bd,system
177,20,Jessore Sadar,যশোর সদর,sadar.jessore.gov.bd,system
178,20,Sharsha,শার্শা,sharsha.jessore.gov.bd,system
179,21,Assasuni,আশাশুনি,assasuni.satkhira.gov.bd,system
180,21,Debhata,দেবহাটা,debhata.satkhira.gov.bd,system
181,21,Kalaroa,কলারোয়া,kalaroa.satkhira.gov.bd,system
182,21,Satkhira Sadar,সাতক্ষীরা সদর,satkhirasadar.satkhira.gov.bd,system
183,21,Shyamnagar,শ্যামনগর,shyamnagar.satkhira.gov.bd,system
184,21,Tala,তালা,tala.satkhira.gov.bd,system
185,21,Kaliganj,কালিগঞ্জ,kaliganj.satkhira.gov.bd,system
186,22,Mujibnagar,মুজিবনগর,mujibnagar.meherpur.gov.bd,system
187,22,Meherpur Sadar,মেহেরপুর সদর,meherpursadar.meherpur.gov.bd,system
188,22,Gangni,গাংনী,gangni.meherpur.gov.bd,system
189,23,Narail Sadar,নড়াইল সদর,narailsadar.narail.gov.bd,system
190,23,Lohagara,লোহাগড়া,lohagara.narail.gov.bd,system
191,23,Kalia,কালিয়া,kalia.narail.gov.bd,system
192,24,Chuadanga Sadar,চুয়াডাঙ্গা সদর,chuadangasadar.chuadanga.gov.bd,system
193,24,Alamdanga,আলমডাঙ্গা,alamdanga.chuadanga.gov.bd,system
194,24,Damurhuda,দামুড়হুদা,damurhuda.chuadanga.gov.bd,system
195,24,Jibannagar,জীবননগর,jibannagar.chuadanga.gov.bd,system
196,25,Kushtia Sadar,কুষ্টিয়া সদর,kushtiasadar.kushtia.gov.bd,system
197,25,Kumarkhali,কুমারখালী,kumarkhali.kushtia.gov.bd,system
198,25,Khoksa,খোকসা,khoksa.kushtia.gov.bd,system
199,25,Mirpur,মিরপুর,mirpurkushtia.kushtia.gov.bd,system
200,25,Daulatpur,দৌলতপুর,daulatpur.kushtia.gov.bd,system
201,25,Bheramara,ভেড়ামারা,bheramara.kushtia.gov.bd,system
202,26,Shalikha,শালিখা,shalikha.magura.gov.bd,system
